,National Highways,OSMRI,States,length,routes,National Highway URLS,OSMRI_URL
0,National Highway 1 (India),3194791,Jammu and Kashmir,535 km (332 mi),"(NH1A) Uri, Baramula, (NH1D) Srinagar, Kargil, Leh",https://en.wikipedia.org/wiki/National_Highway_1_(India),http://openstreetmap.org/browse/relation/3194791
1,National Highway 2 (India),3194847,Assam,"1,214 km (754 mi)","(NH37) NH15 near Dibrugrah, Sibsagar, (NH61) Jhanji, Amguri, Mokokchung, Wohka, (NH39) Kohima, (NH150) Imphal, Churachandpur, (NH54) Seling, Serchhip, Lawngtla, Tuipang",https://en.wikipedia.org/wiki/National_Highway_2_(India),http://openstreetmap.org/browse/relation/3194847
2,National Highway 102 (India),3207333,Manipur,107 km (66 mi),"(NH39) NH2 near Imphal, Moreh",https://en.wikipedia.org/wiki/National_Highway_102_(India),http://openstreetmap.org/browse/relation/3207333
3,National Highway 202 (India),3207789,Nagaland,460 km (290 mi),"(NH155) NH2 near Mokokchung, Tuensang, Sampurre, Meluri, (NH150) Jessami, Ukhrul, NH2 near Imphal",https://en.wikipedia.org/wiki/National_Highway_202_(India),http://openstreetmap.org/browse/relation/3207789
4,National Highway 302 (India),3208481,Mizoram,10 km (6.2 mi),"(NH54A) NH2 near Therait, Lunglei",https://en.wikipedia.org/wiki/National_Highway_302_(India),http://openstreetmap.org/browse/relation/3208481
5,National Highway 502 (India),3208496,Mizoram,23 km (14 mi),"(NH54B) NH2 near Venus Saddle, Saiha",https://en.wikipedia.org/wiki/National_Highway_502_(India),http://openstreetmap.org/browse/relation/3208496
6,National Highway 3 (India),3195225,Uttar Pradesh,"1,190 km (740 mi)","Agra, Dholpur, Morena, Gwalior, Shivpuri, Guna, Biaora, ",https://en.wikipedia.org/wiki/National_Highway_3_(India),http://openstreetmap.org/browse/relation/3195225
7,National Highway 103 (India),3208959,Himachal Pradesh,58 km (36 mi),"(NH88) NH3 near Hamirpur, Bhota, Ghumarwain, NH154 near Ghaghas",https://en.wikipedia.org/wiki/National_Highway_103_(India),http://openstreetmap.org/browse/relation/3208959
8,National Highway 303 (India),3209917,Himachal Pradesh,60 km (37 mi),"(NH20A) NH154 near Nagrota, (NH88) Daulatur, Ranital, Jawalamukhi, NH3 near Nadaun",https://en.wikipedia.org/wiki/National_Highway_303_(India),http://openstreetmap.org/browse/relation/3209917
9,National Highway 133 (India),,Jharkhand,200 km (120 mi),"Pirpainti, Godda, Deoghar",https://en.wikipedia.org/wiki/National_Highway_133_(India),None
10,National Highway 503 (India),3209984,Himachal Pradesh,70 km (43 mi),"(NH88) NH154 near Mataur, Kangra, (NH20A) Ranital, Dera Gopipur, NH3 near Mubarakpur",https://en.wikipedia.org/wiki/National_Highway_503_(India),http://openstreetmap.org/browse/relation/3209984
11,National Highway 703 (India),3210116,Punjab,144 km (89 mi),"(NH71) NH44 near Jaland, Nakodar, Mahatpur, Moga, Badhni, NH7 near Barnala",https://en.wikipedia.org/wiki/National_Highway_703_(India),http://openstreetmap.org/browse/relation/3210116
12,National Highway 4 (India),3210218,Andaman & Nicobar,230 km (140 mi),"(NH223) Mayabandar, Port Blair, Chiriyatapu",https://en.wikipedia.org/wiki/National_Highway_4_(India),http://openstreetmap.org/browse/relation/3210218
13,National Highway 5 (India),3195290,Punjab,637 km (396 mi),"(NH95) Firozepur, Moga, Jagraon, Ludhiana, (NH21) Kharar, (NH22) Chandigarh, Kalka, Solan, Shimla, Theog, Narkanda, Rampur, Chini, Shipkila",https://en.wikipedia.org/wiki/National_Highway_5_(India),http://openstreetmap.org/browse/relation/3195290
14,National Highway 105 (India),3210467,Himachal Pradesh,67 km (42 mi),"(NH21A) NH5 near Pinjore, Baddi, Nalagarh, NH205 near Swarghat",https://en.wikipedia.org/wiki/National_Highway_105_(India),http://openstreetmap.org/browse/relation/3210467
15,National Highway 205 (India),3210477,Himachal Pradesh,183 km (114 mi),"(NH21) Kharar Ropar, Swarghat, (NH88) Nauni, Darlaghat, NH5 near Shimla",https://en.wikipedia.org/wiki/National_Highway_205_(India),http://openstreetmap.org/browse/relation/3210477
16,National Highway 6 (India),3257907,Gujarat,"1,873 km (1,164 mi)","Surat, Dhule, Jalgaon, Bhusaval, Akola, Amravati, Nagpur, Bhandara, Durg, Raipur, Mahasamund, Sambalpur, Kolkata",https://en.wikipedia.org/wiki/National_Highway_6_(India),http://openstreetmap.org/browse/relation/3257907
17,National Highway 106 (India),3258906,Meghalaya,82 km (51 mi),"(NH44E) Shillong, Nongstoin",https://en.wikipedia.org/wiki/National_Highway_106_(India),http://openstreetmap.org/browse/relation/3258906
